,lane,x,y,yaw,width
100,1,323.6289367675781,1.9876155853271484,0.03045654296875,4.0
101,-1,322.6310729980469,-2.0129151344299316,-179.96954345703125,4.0
102,1,322.6289367675781,1.9870843887329102,0.03045654296875,4.0
103,-1,321.6310729980469,-2.01344633102417,-179.96954345703125,4.0
104,1,321.6289367675781,1.9865530729293823,0.03045654296875,4.0
105,-1,320.6310729980469,-2.0139777660369873,-179.96954345703125,4.0
106,1,320.6289367675781,1.986021876335144,0.03045654296875,4.0
107,-1,319.6310729980469,-2.0145089626312256,-179.96954345703125,4.0
108,1,319.6289367675781,1.9854906797409058,0.03045654296875,4.0
109,-1,318.6310729980469,-2.015040159225464,-179.96954345703125,4.0
110,1,318.6289367675781,1.984959363937378,0.03045654296875,4.0
111,-1,317.6310729980469,-2.015571355819702,-179.96954345703125,4.0
112,1,317.6289367675781,1.9844281673431396,0.03045654296875,4.0
113,-1,316.6310729980469,-2.0161025524139404,-179.96954345703125,4.0
114,1,316.6289367675781,1.9838969707489014,0.03045654296875,4.0
115,-1,315.6310729980469,-2.0166337490081787,-179.96954345703125,4.0
116,1,315.6289367675781,1.9833656549453735,0.03045654296875,4.0
117,-1,314.6310729980469,-2.017165184020996,-179.96954345703125,4.0
118,1,314.6289367675781,1.9828344583511353,0.03045654296875,4.0
119,-1,313.6310729980469,-2.0176963806152344,-179.96954345703125,4.0
120,1,313.6289367675781,1.982303261756897,0.03045654296875,4.0
121,-1,312.6310729980469,-2.0182275772094727,-179.96954345703125,4.0
122,1,312.6289367675781,1.9817719459533691,0.03045654296875,4.0
123,-1,311.6310729980469,-2.018758773803711,-179.96954345703125,4.0
124,1,311.6289367675781,1.9812407493591309,0.03045654296875,4.0
125,-1,310.6310729980469,-2.019289970397949,-179.96954345703125,4.0
126,1,310.6289367675781,1.9807095527648926,0.03045654296875,4.0
127,-1,309.6310729980469,-2.0198211669921875,-179.96954345703125,4.0
128,1,309.6289367675781,1.9801782369613647,0.03045654296875,4.0
129,-1,308.6310729980469,-2.020352602005005,-179.96954345703125,4.0
130,1,308.6289367675781,1.9796470403671265,0.03045654296875,4.0
131,-1,307.6310729980469,-2.020883798599243,-179.96954345703125,4.0
132,1,307.6289367675781,1.9791158437728882,0.03045654296875,4.0
133,-1,306.6310729980469,-2.0214149951934814,-179.96954345703125,4.0
134,1,306.6289367675781,1.9785845279693604,0.03045654296875,4.0
135,-1,305.6310729980469,-2.0219461917877197,-179.96954345703125,4.0
136,1,305.6289367675781,1.978053331375122,0.03045654296875,4.0
137,-1,304.6310729980469,-2.022477388381958,-179.96954345703125,4.0
138,1,304.6289367675781,1.9775221347808838,0.03045654296875,4.0
139,-1,303.6310729980469,-2.0230085849761963,-179.96954345703125,4.0
140,1,303.6289367675781,1.976990818977356,0.03045654296875,4.0
141,-1,302.6310729980469,-2.0235400199890137,-179.96954345703125,4.0
142,1,302.6289367675781,1.9764596223831177,0.03045654296875,4.0
143,-1,301.6310729980469,-2.024071216583252,-179.96954345703125,4.0
