,lane,x,y,yaw,width
227,3,68.44613647460938,-192.28302001953125,1.4395599365234375,3.5
228,-2,67.79815673828125,-206.30372619628906,-178.56044006347656,3.5
229,-1,67.7102279663086,-202.80484008789062,-178.56044006347656,3.5
230,2,67.53437805175781,-195.8070526123047,1.4395599365234375,3.5
231,3,67.44644927978516,-192.3081512451172,1.4395599365234375,3.5
232,-2,66.79847717285156,-206.32884216308594,-178.56044006347656,3.5
233,-1,66.7105484008789,-202.8299560546875,-178.56044006347656,3.5
234,2,66.53469848632812,-195.83216857910156,1.4395599365234375,3.5
235,3,66.44676971435547,-192.33326721191406,1.4395599365234375,3.5
236,-2,65.79878997802734,-206.3539581298828,-178.56044006347656,3.5
237,-1,65.71086120605469,-202.85507202148438,-178.56044006347656,3.5
238,2,65.5350112915039,-195.85728454589844,1.4395599365234375,3.5
239,3,65.44708251953125,-192.35838317871094,1.4395599365234375,3.5
240,-2,64.79911041259766,-206.37908935546875,-178.56044006347656,3.5
241,-1,64.711181640625,-202.8802032470703,-178.56044006347656,3.5
242,2,64.53533172607422,-195.88241577148438,1.4395599365234375,3.5
243,3,64.44740295410156,-192.38351440429688,1.4395599365234375,3.5
244,-2,63.7994270324707,-206.40420532226562,-178.56044006347656,3.5
245,-1,63.71149826049805,-202.9053192138672,-178.56044006347656,3.5
246,2,63.535640716552734,-195.90753173828125,1.4395599365234375,3.5
247,3,63.44771194458008,-192.40863037109375,1.4395599365234375,3.5
248,-2,62.799739837646484,-206.42933654785156,-178.56044006347656,3.5
249,-1,62.71181106567383,-202.93045043945312,-178.56044006347656,3.5
250,2,62.535953521728516,-195.9326629638672,1.4395599365234375,3.5
251,3,62.44802474975586,-192.4337615966797,1.4395599365234375,3.5
252,-2,61.80005645751953,-206.45445251464844,-178.56044006347656,3.5
253,-1,61.712127685546875,-202.95556640625,-178.56044006347656,3.5
254,2,61.53627014160156,-195.95777893066406,1.4395599365234375,3.5
255,3,61.448341369628906,-192.45887756347656,1.4395599365234375,3.5
256,-2,60.80037307739258,-206.4795684814453,-178.56044006347656,3.5
257,-1,60.71244430541992,-202.98068237304688,-178.56044006347656,3.5
258,2,60.53658676147461,-195.98289489746094,1.4395599365234375,3.5
259,3,60.44865798950195,-192.48399353027344,1.4395599365234375,3.5
260,-2,59.800689697265625,-206.50469970703125,-178.56044006347656,3.5
261,-1,59.71276092529297,-203.0058135986328,-178.56044006347656,3.5
262,2,59.536903381347656,-196.00802612304688,1.4395599365234375,3.5
263,3,59.448974609375,-192.50912475585938,1.4395599365234375,3.5
264,-2,58.80100631713867,-206.52981567382812,-178.56044006347656,3.5
265,-1,58.713077545166016,-203.0309295654297,-178.56044006347656,3.5
266,2,58.5372200012207,-196.03314208984375,1.4395599365234375,3.5
